Variety,Category
Çalkarası,red
Žilavka,white
Abouriou,red
Agiorgitiko,red
Aglianico,red
Aidani,other
Airen,other
Albana,white
Albanello,other
Albariño,white
Albarossa,red
Aleatico,red
Alfrocheiro,other
Alicante,other
Alicante Bouschet,red
Aligoté,white
Alsace white blend,white
Altesse,white
Alvarelhão,red
Alvarinho,other
Alvarinho-Chardonnay,other
Ansonica,white
Antão Vaz,white
Aragonês,other
Aragonez,other
Argaman,red
Arinto,white
Arneis,white
Asprinio,other
Assyrtico,other
Assyrtiko,white
Athiri,white
Austrian Red Blend,red
Austrian white blend,white
Auxerrois,other
Avesso,white
Azal,other
Babić,red
Babosa Negro,other
Baco Noir,red
Baga,red
Baga-Touriga Nacional,other
Barbera,red
Barbera-Nebbiolo,other
Bastardo,other
Biancale,other
Biancolella,white
Bical,white
Black Muscat,red
Blanc du Bois,white
Blatina,red
Blauburger,red
Blauburgunder,other
Blauer Portugieser,red
Blaufränkisch,red
Bobal,red
Bobal-Cabernet Sauvignon,red
Boğazkere,red
Bombino Bianco,other
Bombino Nero,other
Bonarda,other
Bordeaux-style Red Blend,red
Bordeaux-style White Blend,white
Bovale,red
Brachetto,red
Braucol,other
Bual,other
Códega do Larinho,other
Cabernet,other
Cabernet Blend,other
Cabernet Franc,red
Cabernet Franc-Cabernet Sauvignon,red
Cabernet Franc-Carmenère,other
Cabernet Franc-Lemberger,other
Cabernet Franc-Malbec,other
Cabernet Franc-Merlot,other
Cabernet Merlot,red
Cabernet Moravia,other
Cabernet Pfeffer,other
Cabernet Sauvignon,red
Cabernet Sauvignon Grenache,red
Cabernet Sauvignon-Barbera,red
Cabernet Sauvignon-Cabernet Franc,red
Cabernet Sauvignon-Carmenère,red
Cabernet Sauvignon-Malbec,red
Cabernet Sauvignon-Merlot,red
Cabernet Sauvignon-Merlot-Shiraz,red
Cabernet Sauvignon-Sangiovese,red
Cabernet Sauvignon-Shiraz,red
Cabernet Sauvignon-Syrah,red
Cabernet Sauvignon-Tempranillo,red
Cabernet-Malbec,other
Cabernet-Shiraz,other
Cabernet-Syrah,other
Canaiolo,red
Cannonau,other
Caprettone,white
Carcajolu,other
Cariñena-Garnacha,other
Carignan,red
Carignan-Grenache,other
Carignan-Syrah,other
Carignane,other
Carignano,other
Carineña,other
Carmenère,red
Carmenère-Cabernet Sauvignon,red
Carmenère-Syrah,other
Carricante,white
Casavecchia,other
Castelão,red
Catalanesca,other
Catarratto,white
Cayuga,other
Centesimino,other
Cerceal,other
Cercial,other
Cesanese,other
Cesanese d'Affile,other
Chambourcin,white
Champagne Blend,other
Chancellor,red
Charbono,other
Chardonel,white
Chardonnay,white
Chardonnay Weissburgunder,other
Chardonnay-Albariño,other
Chardonnay-Pinot Blanc,white
Chardonnay-Pinot Gris,white
Chardonnay-Riesling,other
Chardonnay-Sauvignon,other
Chardonnay-Sauvignon Blanc,white
Chardonnay-Semillon,other
Chardonnay-Viognier,other
Chasselas,white
Chelois,red
Chenin Blanc,white
Chenin Blanc-Chardonnay,white
Chenin Blanc-Sauvignon Blanc,white
Chenin Blanc-Viognier,white
Chinuri,white
Ciliegiolo,red
Cinsault,other
Clairette,other
Claret,other
Cococciola,white
Coda di Volpe,white
Colombard,white
Colombard-Sauvignon Blanc,white
Colombard-Ugni Blanc,white
