variety,word,count
Pinot Gris,and,3579
Pinot Gris,of,2016
Pinot Gris,a,1943
Pinot Gris,the,1805
Pinot Gris,with,1268
Pinot Gris,is,1194
Pinot Gris,this,839
Pinot Gris,to,630
Pinot Gris,the,627
Pinot Gris,in,604
Pinot Gris,pear,559
Pinot Gris,wine,548
Pinot Gris,this,469
Pinot Gris,on,460
Pinot Gris,flavors,458
Pinot Gris,fruit,451
Pinot Gris,pinot,428
Pinot Gris,that,356
Pinot Gris,it,351
Pinot Gris,but,335
Pinot Gris,apple,297
Pinot Gris,has,289
Pinot Gris,palate,283
Pinot Gris,ripe,271
Pinot Gris,it's,261
Pinot Gris,from,254
Pinot Gris,finish,247
Pinot Gris,notes,231
Pinot Gris,a,230
Pinot Gris,it,225
Pinot Gris,are,225
Pinot Gris,by,225
Pinot Gris,for,220
Pinot Gris,fresh,220
Pinot Gris,an,215
Pinot Gris,gris,210
Pinot Gris,acidity,204
Pinot Gris,drink,191
Pinot Gris,its,177
Pinot Gris,white,169
Pinot Gris,as,169
Pinot Gris,finish,165
Pinot Gris,dry,162
Pinot Gris,citrus,154
Pinot Gris,flavors,152
Pinot Gris,wine,152
Pinot Gris,aromas,148
Pinot Gris,some,138
Pinot Gris,lemon,137
Pinot Gris,nose,134
Pinot Gris,rich,134
Pinot Gris,light,131
Pinot Gris,just,131
Pinot Gris,touch,130
Pinot Gris,through,126
Pinot Gris,at,125
Pinot Gris,peach,121
Pinot Gris,into,121
Pinot Gris,full,114
Pinot Gris,it's,112
Pinot Gris,wine,111
Pinot Gris,melon,111
Pinot Gris,green,110
Pinot Gris,very,108
Pinot Gris,acidity,106
Pinot Gris,gris,106
Pinot Gris,crisp,104
Pinot Gris,spice,104
Pinot Gris,sweet,102
Pinot Gris,flavors,100
Pinot Gris,residual,100
Pinot Gris,dry,100
Pinot Gris,more,99
Pinot Gris,freshness,98
Pinot Gris,balanced,97
Pinot Gris,fruit,94
Pinot Gris,juicy,92
Pinot Gris,there,92
Pinot Gris,slightly,91
Pinot Gris,hints,90
Pinot Gris,pear,90
Pinot Gris,hint,90
Pinot Gris,all,88
Pinot Gris,gris,88
Pinot Gris,texture,87
Pinot Gris,fruit,86
Pinot Gris,not,85
Pinot Gris,clean,82
Pinot Gris,spicy,81
Pinot Gris,off,81
Pinot Gris,orange,81
Pinot Gris,lightly,81
Pinot Gris,apple,80
Pinot Gris,tropical,80
Pinot Gris,offers,79
Pinot Gris,grapefruit,77
Pinot Gris,refreshing,74
Pinot Gris,palate,74
Pinot Gris,bitter,73
Pinot Gris,be,73
Pinot Gris,shows,73
Pinot Gris,will,72
Pinot Gris,bit,71
Pinot Gris,mix,70
Pinot Gris,yellow,70
Pinot Gris,fruity,70
Pinot Gris,sweetness,68
Pinot Gris,while,68
Pinot Gris,palate,67
Pinot Gris,out,66
Pinot Gris,now,65
Pinot Gris,good,65
Pinot Gris,vanilla,65
Pinot Gris,richness,64
Pinot Gris,tart,64
Pinot Gris,stone,63
Pinot Gris,well,63
Pinot Gris,rich,63
Pinot Gris,flavor,63
Pinot Gris,nose,63
Pinot Gris,than,63
Pinot Gris,there's,62
Pinot Gris,which,61
Pinot Gris,balance,61
Pinot Gris,apricot,61
Pinot Gris,rounded,61
Pinot Gris,freshness,60
Pinot Gris,almost,60
Pinot Gris,honey,59
Pinot Gris,zesty,59
Pinot Gris,now,58
